Year,Unemployment,Inflation,Interest %
1970,,6.36656841727438,1.62049390096783
1971,3.29999995231628,9.44483742337138,-0.449712178073405
1972,3.70000004768372,7.07109839479793,0.290841777116869
1973,2.59999990463257,9.1960331665781,-0.382676786080152
1974,2.59999990463257,16.0440111889862,-5.26616899610745
1975,4.0,24.2072876743291,-12.1674069708577
1976,5.5,16.5595225588084,-3.48579002622957
1977,5.80000019073486,15.8402667458767,-4.22003926958361
1978,5.69999980926514,8.26314103860768,-2.12134307137053
1979,5.30000019073486,13.4212799774013,-0.325891428410261
1980,6.80000019073486,17.9659242656858,-2.83291879942755
1981,10.3999996185303,11.8766265142296,1.51093333227377
1982,10.8999996185303,8.59886383332181,4.20056159487545
1983,11.0900001525879,4.60930327269783,4.47329852636106
1984,10.8999996185303,4.96071097821929,4.42735447123592
1985,11.4899997711182,6.07139434015118,6.38913559707935
1986,11.5100002288818,3.42760940369308,6.29317090082597
1987,11.0200004577637,4.14892232052949,4.07333892216669
1988,9.01000022888184,4.15535171583102,3.73355003602365
1989,7.40999984741211,5.76024909185262,5.4717180395958
1990,6.96999979019165,8.06346090938833,6.37884870174878
1991,8.55000019073486,7.46178295746933,4.95766034312456
1992,9.77999973297119,4.59154929577464,6.04185532312384
1993,10.3500003814697,2.55857796929707,3.19331437918495
1994,9.64999961853027,2.21901260504202,4.01323042810102
1995,8.6899995803833,2.69749518304432,-4.4562855135416
1996,8.1899995803833,2.85178236397748,1.62782017476109
1997,7.07000017166138,2.20114313510882,6.93665752406712
1998,6.19999980926514,1.82056163731558,5.54688164737222
1999,6.03999996185303,1.7529508005142,3.94909267187909
2000,5.55999994277954,1.18295624210404,4.20200533241684
2001,4.69999980926514,1.53234960272418,3.21190445013526
2002,5.03999996185303,1.52040245947458,1.8974071277108
2003,4.80999994277954,1.3765003854201,0.933127669620646
2004,4.59000015258789,1.39039756680426,1.76441126186111
2005,4.75,2.08913649025072,1.46678111933941
2006,5.34999990463257,2.45566166439288,1.74032954120173
2007,5.26000022888184,2.38656150773328,2.63840905198808
2008,5.61999988555908,3.52140856342537,1.40150029334957
2009,7.53999996185303,1.96173173560107,-1.05327587133547
2010,7.78999996185303,2.49265472467065,-0.864312585172748
2011,8.03999996185303,3.85611244682819,-1.53558723369941
2012,7.88000011444092,2.57323479654528,-1.09424558146415
2013,7.51999998092651,2.29166666666666,-1.70072470785305
2014,6.1100001335144,1.45112016293279,-1.07329870644328
2015,5.30000019073486,0.368046842325369,
2016,4.80999994277954,1.00841736811403,
2017,4.32999992370605,2.55775577557754,
2018,4.0,2.29283990345939,
2019,3.74000000953674,1.73810460086511,
2020,,0.98948670377243,
2021,,2.51837109614205,
